Username,PanelID,Date,Start,End,FeedPanelEnd,FeedTime,Duration,Size,ProcessSide,Area,HoleCount,GrooveCount,MillCount,WorkArea,PositioningEnd,PositioningTime
,TAMPO INF DIR,2025/04/30,01:52:45,01:53:10,01:52:52,5.117,17.784,1276 x 501 x 25.3,XY1,.639,13,0,0,Default,01:52:47,1.872
,FRE00006793A,2025/04/30,01:54:37,01:55:10,01:55:00,21.965,9.672,441.75 x 366.5 x 18.3,XY1,.162,6,0,0,Default,01:54:38,1.248
,TAMPO INF ESQ X,2025/04/30,01:59:02,01:59:34,01:59:11,7.238,23.774,1276 x 501 x 25.3,XY1,.639,13,0,0,Default,01:59:03,1.373
,DIVISORIA CX INF ESQ Y,2025/04/30,02:01:01,02:02:20,02:01:04,2.746,75.754,759.14 x 370.15 x 18.3,XY1,.281,55,0,0,Default,02:01:01,.811
,DIVISORIA CX INF DIR Y,2025/04/30,02:02:44,02:04:08,02:02:50,4.742,78.250,759.14 x 370.15 x 18.3,XY1,.281,59,0,0,Default,02:02:45,1.061
,PRATELEIRA CREM X,2025/04/30,02:05:04,02:05:34,02:05:15,10.421,19.094,460.4 x 305.4 x 18.3,XY1,.141,0,4,0,Default,02:05:05,1.373
,PRATELEIRA CREM X,2025/04/30,02:05:49,02:06:12,02:05:53,2.309,18.985,460.4 x 305.4 x 18.3,XY1,.141,0,4,0,Default,02:05:50,1.061
,PRATELEIRA CREM X,2025/04/30,02:06:35,02:06:56,02:06:37,1.123,18.782,460.4 x 305.4 x 18.3,XY1,.141,0,4,0,Default,02:06:36,.936
,PRATELEIRA CREM X,2025/04/30,02:07:24,02:07:46,02:07:27,1.622,18.985,460.4 x 305.4 x 18.3,XY1,.141,0,4,0,Default,02:07:25,.936
,PRATELEIRA CREM X,2025/04/30,02:08:04,02:08:32,02:08:13,7.987,18.970,460.4 x 305.4 x 18.3,XY1,.141,0,4,0,Default,02:08:05,1.061
,TRAVA SUP CIG,2025/04/30,02:09:37,02:10:06,02:09:41,2.621,24.648,1858.4 x 70 x 15.3,XY1,.130,8,0,0,Default,02:09:39,1.310
,TRA00018631A,2025/04/30,02:18:06,02:18:20,02:18:09,1.560,11.544,889 x 70 x 15.3,XY1,.062,6,0,0,Default,02:18:07,.811
,TRA00018618A,2025/04/30,02:18:25,02:18:39,02:18:29,3.058,10.421,481.5 x 70 x 15.3,XY1,.034,6,0,0,Default,02:18:26,1.123
,TRA00018548A,2025/04/30,02:19:16,02:19:29,02:19:19,1.310,9.922,982.5 x 70 x 18.3,XY1,.069,2,0,0,Default,02:19:17,.936
,TRA00018627A,2025/04/30,02:19:37,02:19:50,02:19:39,1.123,10.982,839 x 70 x 15.3,XY1,.059,6,0,0,Default,02:19:38,1.061
,TRA00018633A,2025/04/30,02:19:56,02:20:11,02:20:00,2.621,10.795,889 x 70 x 15.3,XY1,.062,6,0,0,Default,02:19:57,.936
,GAV00042003A,2025/04/30,02:20:38,02:20:58,02:20:41,1.498,17.597,711 x 95.5 x 15.3,XY1,.068,8,0,0,Default,02:20:39,.749
,TRA00018614A,2025/04/30,02:27:53,02:28:06,02:27:55,1.810,11.170,469 x 70 x 15.3,XY1,.033,6,0,0,Default,02:27:53,.624
,TRA00018616A,2025/04/30,02:28:17,02:28:30,02:28:20,1.560,10.795,939 x 70 x 15.3,XY1,.066,6,0,0,Default,02:28:18,1.014
,ROD00004874A,2025/04/30,02:28:44,02:28:57,02:28:48,3.806,8.986,800 x 80 x 15.3,XY1,.064,6,0,0,Default,02:28:45,.624
,GAV00041570A,2025/04/30,02:29:06,02:29:41,02:29:09,2.122,31.403,183 x 95.15 x 15.3,XY1,.017,6,0,0,Default,02:29:07,1.139
,GAV00041570A,2025/04/30,02:29:45,02:30:15,02:29:47,1.747,27.144,183 x 95.15 x 15.3,XY1,.017,6,0,0,Default,02:29:46,1.061
,GAV00042003A,2025/04/30,02:30:41,02:31:04,02:30:44,2.122,19.094,711 x 95.5 x 15.3,XY1,.068,8,0,0,Default,02:30:42,1.014
,AFA00004212A,2025/04/30,02:31:13,02:31:26,02:31:16,2.246,9.734,895 x 70 x 15.3,XY1,.063,2,0,0,Default,02:31:14,1.076
,TRA00018607A,2025/04/30,02:31:38,02:31:51,02:31:40,1.373,10.608,589 x 70 x 15.3,XY1,.041,6,0,0,Default,02:31:39,1.061
,TRA00018648A,2025/04/30,02:31:58,02:32:14,02:32:01,1.934,13.229,949 x 70 x 15.3,XY1,.066,6,0,0,Default,02:31:59,1.061
,AFA00004212A,2025/04/30,02:32:35,02:32:47,02:32:37,1.872,9.625,895 x 70 x 15.3,XY1,.063,2,0,0,Default,02:32:35,.811
,TRA00018649A,2025/04/30,02:32:54,02:33:07,02:32:56,1.997,10.670,949 x 70 x 15.3,XY1,.066,6,0,0,Default,02:32:54,.811
,GAV00041989A,2025/04/30,02:38:51,02:39:12,02:38:54,2.246,17.722,546 x 95.5 x 15.3,XY1,.052,8,0,0,Default,02:38:52,1.061
,GAV00042004A,2025/04/30,02:39:21,02:39:39,02:39:23,1.061,15.662,711 x 95.5 x 15.3,XY1,.068,6,0,0,Default,02:39:22,.936
,TRA00018554A,2025/04/30,02:44:35,02:44:56,02:44:47,11.294,9.048,533 x 70 x 18.3,XY1,.037,2,0,0,Default,02:44:36,.811
,TRA00018551A,2025/04/30,02:45:10,02:45:22,02:45:12,1.310,9.563,963 x 70 x 18.3,XY1,.067,2,0,0,Default,02:45:11,.936
,TRA00018611A,2025/04/30,02:45:31,02:45:47,02:45:34,2.184,13.166,885 x 70 x 15.3,XY1,.062,8,0,0,Default,02:45:31,.811
,TRA00018656A,2025/04/30,02:46:02,02:46:14,02:46:04,.874,10.421,439 x 70 x 15.3,XY1,.031,6,0,0,Default,02:46:03,.686
,TRA00018626A,2025/04/30,02:46:26,02:46:40,02:46:29,1.310,10.920,839 x 70 x 15.3,XY1,.059,6,0,0,Default,02:46:27,.952
,GAV00042061A,2025/04/30,02:47:05,02:47:24,02:47:08,1.872,16.474,852 x 75.5 x 15.3,XY1,.064,8,0,0,Default,02:47:06,.811
,GAV00042062A,2025/04/30,02:47:33,02:47:50,02:47:36,1.872,14.477,852 x 75.5 x 15.3,XY1,.064,6,0,0,Default,02:47:34,1.076
,TRA00018632A,2025/04/30,02:48:14,02:48:27,02:48:16,1.747,10.920,889 x 70 x 15.3,XY1,.062,6,0,0,Default,02:48:15,.936
,TRA00018654A,2025/04/30,02:48:36,02:48:49,02:48:38,1.061,10.733,824 x 70 x 15.3,XY1,.058,6,0,0,Default,02:48:37,.936
,TRA00018623A,2025/04/30,02:48:56,02:49:10,02:48:59,2.434,10.982,1001 x 70 x 15.3,XY1,.070,6,0,0,Default,02:48:56,.811
,ROD00004884A,2025/04/30,02:49:19,02:49:44,02:49:26,5.741,18.158,1366.5 x 80 x 15.3,XY1,.109,8,0,0,Default,02:49:20,1.061
,AFA00004212A,2025/04/30,02:50:02,02:50:17,02:50:07,3.682,9.734,895 x 70 x 15.3,XY1,.063,2,0,0,Default,02:50:03,1.061
,TRA00018662A,2025/04/30,02:50:29,02:50:48,02:50:37,7.488,11.170,856 x 70 x 15.3,XY1,.060,6,0,0,Default,02:50:30,1.061
,TRA00018400A,2025/04/30,02:51:01,02:51:14,02:51:03,1.248,10.795,633 x 70 x 18.3,XY1,.044,2,0,0,Default,02:51:02,.811
,TRA00018615A,2025/04/30,02:51:32,02:51:46,02:51:35,2.933,11.045,939 x 70 x 15.3,XY1,.066,6,0,0,Default,02:51:32,.811
,TRA00018663A,2025/04/30,02:51:53,02:52:08,02:51:57,2.434,10.982,856 x 70 x 15.3,XY1,.060,6,0,0,Default,02:51:54,.952
,AFA00004208A,2025/04/30,02:55:14,02:55:41,02:55:23,8.174,17.550,1140 x 50 x 15.3,XY1,.057,5,0,0,Default,02:55:15,.952
,AFA00004208A,2025/04/30,02:55:47,02:56:08,02:55:50,2.184,18.236,1140 x 50 x 15.3,XY1,.057,5,0,0,Default,02:55:48,.686
,ROD00004884A,2025/04/30,02:56:18,02:56:35,02:56:20,1.498,14.102,1366.5 x 80 x 15.3,XY1,.109,8,0,0,Default,02:56:19,1.061
,TRA00018658A,2025/04/30,02:56:43,02:56:59,02:56:45,1.310,13.666,1169 x 70 x 15.3,XY1,.082,6,0,0,Default,02:56:44,.936
,TRA00018415A,2025/04/30,02:57:11,02:57:29,02:57:13,1.123,15.725,369 x 70 x 15.3,XY1,.026,6,0,0,Default,02:57:12,1.123
,GAV00042008A,2025/04/30,02:58:01,02:58:19,02:58:03,1.123,15.101,426 x 75.5 x 15.3,XY1,.032,8,0,0,Default,02:58:02,.998
,TRA00018658A,2025/04/30,02:58:25,02:58:39,02:58:27,1.123,11.232,1169 x 70 x 15.3,XY1,.082,6,0,0,Default,02:58:26,1.123
,TRA00018420A,2025/04/30,02:58:48,02:59:01,02:58:50,1.123,11.419,769 x 70 x 15.3,XY1,.054,6,0,0,Default,02:58:49,1.014
,GAV00042008A,2025/04/30,02:59:13,02:59:30,02:59:15,1.061,14.664,426 x 75.5 x 15.3,XY1,.032,8,0,0,Default,02:59:14,1.061
,ROD00004879A,2025/04/30,02:59:41,03:00:00,02:59:44,2.496,15.413,1450 x 80 x 15.3,XY1,.116,8,0,0,Default,02:59:42,.936
,ROD00004787A,2025/04/30,03:00:13,03:00:27,03:00:16,1.872,10.920,1240 x 80 x 15.3,XY1,.099,8,0,0,Default,03:00:14,.998
,ROD00004883A,2025/04/30,03:04:58,03:05:12,03:05:00,.874,11.482,428.5 x 80 x 15.3,XY1,.034,4,0,0,Default,03:04:59,1.264
,ROD00004883A,2025/04/30,03:05:18,03:05:32,03:05:21,1.186,11.497,428.5 x 80 x 15.3,XY1,.034,4,0,0,Default,03:05:19,1.014
,ROD00004894A,2025/04/30,03:05:37,03:05:49,03:05:41,2.371,8.549,565 x 80 x 15.3,XY1,.045,6,0,0,Default,03:05:38,1.061
,TRA00018610A,2025/04/30,03:05:57,03:06:10,03:05:59,.998,11.794,701.75 x 70 x 15.3,XY1,.049,8,0,0,Default,03:05:58,1.014
,TRA00018419A,2025/04/30,03:06:18,03:06:31,03:06:20,1.435,10.795,669 x 70 x 15.3,XY1,.047,6,0,0,Default,03:06:19,.936
,TRA00018612A,2025/04/30,03:06:37,03:06:51,03:06:39,.874,11.669,435 x 70 x 15.3,XY1,.030,8,0,0,Default,03:06:38,1.061
,GAV00042013A,2025/04/30,03:07:08,03:07:21,03:07:15,5.803,6.552,469 x 70 x 15.3,XY1,.033,3,0,0,Default,03:07:09,1.123
,TRA00018425A,2025/04/30,03:07:27,03:07:42,03:07:30,2.059,12.480,239 x 70 x 15.3,XY1,.017,6,0,0,Default,03:07:27,.936
